Offer,Duration,Promo Value,Type,Week
Disney +,12 Months,89.90,Free Subscription,20
Apple Services,4-6 Months,117.83,Free Subscription,20
Pixel Buds A series,,99,Bundle Offer,20
Apple HomePod Mini,,109,Bundle Offer,20
Galaxy Watch 4 Classic ,,194.00,Bundle Offer,20
Galaxy Watch 5,,234,Bundle Offer,20
Disney +,12 Months,89.90,Free Subscription,22
Apple Services,4-6 Months,117.83,Free Subscription,22
Pixel Buds A series,,99,Bundle Offer,22
Apple HomePod Mini,,109,Bundle Offer,22
Galaxy Watch 4 Classic ,,194.00,Bundle Offer,22
Galaxy Watch 5,,234,Bundle Offer,22
Disney +,12 Months,89.90,Free Subscription,21
Apple Services,4-6 Months,117.83,Free Subscription,21
Pixel Buds A series,,99,Bundle Offer,21
Apple HomePod Mini,,109,Bundle Offer,21
Galaxy Watch 4 Classic ,,194.00,Bundle Offer,21
Galaxy Watch 5,,234,Bundle Offer,21
Disney +,12 Months,89.90,Free Subscription,23
Apple Services,4-6 Months,117.83,Free Subscription,23
Pixel Buds A series,,99,Bundle Offer,23
Apple HomePod Mini,,109,Bundle Offer,23
Galaxy Watch 4 Classic ,,194.00,Bundle Offer,23
Galaxy Watch 5,,234,Bundle Offer,23